Name - original,Album,Audio,Cords,Instru,Language,Learn?,Link,Lyrics,Name - EN,Name - ZW,Singer,Status,Top
我是妳的南八萬,,,No,No,Mandarin,No,,"別在我們的面前想要呼嚨
我們夜貓組行走江湖手拿麥克風
像你這種傢伙只能去騙騙小朋友
同樣是靠嘴吃飯 但我們不同 我有病但你完全沒有
Heavily medicated 很多事情在學校老師都不會教你
你得要自己學習如何去分辨 好貨或爛貨 直到
自己變成了老手 yo check this out
吃葡萄不吃葡萄皮 但我懶得剝皮
沒關係 不吃葡萄我也可以去吃鳳梨
端湯上塔的和尚被我偷偷拌倒在地
灑出來的湯把我的腳燙到破皮
我叫你說對不起 不然就揍你
在我的地盤這兒你就得聽我的
now everybody move your body
lovely honey I know you know I want to be your wify

小姐 小姐 妳知道我愛妳 我是妳的南八萬
每天每夜我都需要妳 不想要一個人撸管
愛出風頭也都是為了妳 想要把你攬緊緊
小姐 小姐 妳知道我愛妳

春艷
我是你的南八萬
我超會打扮 五股小帥弟
到你家搗亂 我不懂
什麼話術直來直往那妹
說我超酷 他們全都只想要
在週末夜晚跟我一起到處走跳 我
不想跟她幹嘛但也可以擁抱
在西門町看我耍帥 心跳蹦蹦
你說我已把你打敗 woo
我有點壞壞 跩得帥
一起唱歌然後 kiss goodbye
別看我像是個屁孩其實我
非常的認真 so 別停止我 愛你
在你面前幼稚像個 白 七
是否有榮幸能夠搭上你的 班 機
一起上山下海 po上我們親密合照就讓
粉絲瘋狂下載",,,Leo王,Not Started,No
少年董 DON,,,No,No,,Yes,,,,,,,No
South Side,,,No,No,,Yes,,"瘦子 E-SO
SNAPBACK WHITE FORCE OLD SCHOOL FLAVA
RUNNING 木柵 GETTING BLUE PAPPER
車裡載的代表三峽夥伴
其他的人說了什麼講三小我幹
快點搖下窗戶點頭裝酷
喇叭開到最大讓他們知道是誰來光顧
巡迴不計天數 我感謝天父
低於限速的二手車 輪框依然電鍍
訂閱我的PAGE 不是湊巧只關注
那些COPY CAT愛裝成鄉民比酸度
VIDEO太FAKE一堆臭小子充數
我們的派對 我歡迎臭婊子加入
尊敬我的前輩不管搭幾次BEAT
慶功的香檳又忘了開幾支去
WE PARTY SO HARD 你待在家裡視訊
我項鍊99K管你押幾次韻
超爽的開著二手車 聽著饒舌歌
口音老鄉土 來自南方的台客素TEE穿白色
WHAT YOU GONNA DO
SOUTHSIDE SOUTHSIDE 台北台北市
SOUTHSIDE SOUTHSIDE 台北台北CHICKS
SOUTHSIDE SOUTHSIDE 台北台北市
SOUTHSIDE SOUTHSIDE 台北台北KIDS
小春 KENZY
自己賺的我爽就花 奢華的都市 簡單過生活
從松山開始走跳來到木柵 早就賺到第一台二手車
比出手勢打招呼 我們點頭
HOLLA AT ME不在乎是否眼熟
台北以南的城市 四處走跳
HULSTE EVERY DAY 管誰跟我有仇
我賺來的錢根本不需繳車貸
沒在背債鈔票塞褲帶自己承擔好壞
想陷害我 見怪不怪 但是現代 改朝換代 妹仔知道該要選誰變態
BABY IN MY CAR 車廂還有球棒
別隨意按喇叭棒子往你車上撞
習慣溜搭開著車在街上晃
在道路上假欻 跟我兄弟漂浪
超爽的開著二手車 聽著饒舌歌
口音老鄉土 來自南方的台客素TEE穿白色
WHAT YOU GONNA DO
SOUTHSIDE SOUTHSIDE 台北台北市
SOUTHSIDE SOUTHSIDE 台北台北CHICKS
SOUTHSIDE SOUTHSIDE 台北台北市
SOUTHSIDE SOUTHSIDE 台北台北KIDS
大淵 MUTA
副駕車位 限乘辣妹
最辣的台妹 讓你先插隊
跟我去LONG DRIVE
忘記那些雜碎白襪配拖鞋
老鄉中的FASHION 關鍵
車身都降低 然後ㄍㄧㄥ著我的低音快當機 要當心
前面照相機 超速被拍的時候我還在車上吃炸雞
買東西不喜歡下車
他們知道我寫的生活不是假的
認識我的人才知道品味跟價格
我開的車是九零紅色五門的雅哥
四處亂晃開車 讓妹們都愛著
南方老鄉的PARTY讓她們覺得太扯
就愛泡妞改車 再把兄弟載著
代表南方的老鄉我就是來自木柵的台客
超爽的開著二手車 聽著饒舌歌
口音老鄉土 來自南方的台客素TEE穿白色
WHAT YOU GONNA DO
SOUTHSIDE SOUTHSIDE 台北台北市
SOUTHSIDE SOUTHSIDE 台北台北CHICKS
SOUTHSIDE SOUTHSIDE 台北台北市
SOUTHSIDE SOUTHSIDE 台北台北KIDS",,,頑童,In progress,No
幹大事,,,No,No,,Yes,,"我只扩大经营 罩大家庭
直到我入土的那天请你节哀
BIG SHIT POPPING
LITTLE SHIT STOPPING
我们只干大事 就像T.I.

我只干大事 我干大的
恁爸起大厝 我盖大的
DAT ASS SO FAT 我干大的
宾士AMG 我开大的

我在干大事你不要乱
那些蝇头小利留著 宁可不要赚
承认吧 没有好处的活谁要干
没有载完整船黄金 我们不靠岸

女人想要钻戒 五星级的饭店
小子没有碰过活的拜金 没有概念
WORK HARD 到半夜 其他人都在睡
我们来的地方 每个兄弟都想上位

谁管 HIP HOP 还不 HIP HOP 太小家子气
国中还没毕业 我就学会做生意
天生干大事的少年董 比富二代争气
没有含著金汤匙 超工时 疯捞十亿

我只扩大经营 罩大家庭
直到我入土的那天请你节哀
BIG SHIT POPPING
LITTLE SHIT STOPPING
我们只干大事 就像T.I.

我只干大事 我干大的
恁爸起大厝 我盖大的
DAT ASS SO FAT 我干大的
宾士AMG 我开大的

想要尬阮乔平大 拿钱来讲
干大事只看数目
没在看小额利润 嘿拢多讲
进帐塞爆我的帐户
我从来不找谁靠 自己当作股票
干大宗要够狠 冻未条的咖小先跑
当我在家数钞票 出手似阔少
现在换我跟阮兄弟主事拢无你的局
干得高调才醒目 北七还搞不清楚
顶住几十个亿 服我的人都在同ㄧ路
插旗横扫拓疆土 兄弟们干遍江湖
挡我的发财路那些绊脚石全部都铲除

我只扩大经营 罩大家庭
直到我入土的那天请你节哀
BIG SHIT POPPING
LITTLE SHIT STOPPING
我们只干大事 就像T.I.

我只干大事 我干大的
恁爸起大厝 我盖大的
DAT ASS SO FAT 我干大的
宾士AMG 我开大的

我在养家活口 把现金夺走
快发牌结局要发财垃圾赶快挪走
挡路门都没有 钱在跟你挥手
莎呦那啦别想发达把你马子亏走
没 在 怕 事 我都干
胸 怀 大 志 赚钱不偷懒
享受过后我才不想糊口饭
心狠手辣要干大事得不择手段
拼了命再往上闯荡 我的状况狂妄
老乡榜样 传遍在地方上
花光不紧张 因为ㄧ直进帐
丰收景象 就像挖到金矿

我只扩大经营 罩大家庭
直到我入土的那天请你节哀
BIG SHIT POPPING
LITTLE SHIT STOPPING
我们只干大事 就像T.I.

我只干大事 我干大的
恁爸起大厝 我盖大的
DAT ASS SO FAT 我干大的
宾士AMG 我开大的",BIG THING,,頑童,,No
Amis 的饗宴,,,No,No,,Yes,https://www.youtube.com/watch?v=gSJ09juDq1c,"有個活潑熱情的Amis朋友 生活充滿樂趣
喜歡打獵和下海捕魚 料理山珍海味
他最愛吃那個 dadegem（龍葵）和si-lau（醃漬物）
Amis朋友會準備好吃的料理 招待給好朋友
煮的 炒的 煎的或炸的 樣樣都是好滋味
吃過以後你就會 一個接一個
好吃的東西有hak-hak（糯米飯） fuding（魚類）的沙西米
山上打的fa-fuyi（山豬） 和gulafau（田鼠）
溪邊的halang（螃蟹） dagula（溪蛙） 飛鼠的dinayi（腸子）
田裡種的ge-nau（蔥） 和gu-lang（蔬菜）
小米酒也拿出來 一切都準備好 那麼現在就要來唱歌 ｏｈ ｙｉ ｙａ ｈｉ ｙａ
← 間 奏 →
好吃的東西有hak-hak（糯米飯） fuding（魚類）的沙西米
山上打的fa-fuyi（山豬） 和gulafau（田鼠）
溪邊的halang（螃蟹） dagula（溪蛙） 飛鼠的dinayi（腸子）
田裡種的ge-nau（蔥） 和gu-lang（蔬菜）
小米酒也拿出來 一切都準備好 那麼現在就要來唱歌 ｏｈ ｙｉ ｙａ ｈｉ ｙａ",,,,,No
陪妳過假日,,,No,No,,No,,"Everything is happening to you is god's processing
Every difficult moment that you're having He's just processing you
That's all they're doing
Everything you are going through is preparing you for
what you asked God for

Everything that is happening to you it's god processing in you
幹嘛要烙英文
夜深人靜 CODE

這就是聰明絕頂的愛情
聰明絕頂的自由放蕩不羈
拿著57 那是VARO婉婷 送我的禮物
那是我開始的一個契機
我把它摔壞 陪妳過假日
那一個假日 那不是假的
那是不假思索的 反射 動作
虎哥問我
昨天晚上有沒有睡好我說 沒有
昨天晚上 睡在萬隆
一個人旁邊睡著 狗狗 貓貓
她 本來叫我寶貝
今天突然叫Leo 蛤 突然改口
讓我感覺到臉部神經全部都爆炸
蛤 我說癱瘓
臉部神經全部不聽使喚
像是你的左手 的無名指
我是一個莫名其妙的無名氏
Leo王的孩子不姓王姓李 小李子
本無一事 本無一物
何處惹塵埃 你來告訴我
蛤 常常打掃 常常禱告
常常打掃 對誰禱告
常常打掃 常常拖地
把那些塵埃全部都擦去
把污點全部都擦去
把所有誤會都解開
把所有內衣都解開 沒穿內褲 蛤

沒穿褲子 蛤 那是因為還沒有洗好
我一直三天兩頭 三地 兩邊跑
一直跑 一直跑 一直咆哮
一直內心裡面澎湃像是大海在翻攪

嘿 翻攪 翻攪
那天晚上點了10顆水餃
我自己吃了8顆 另外兩顆分妳朋友
想要回家 跟妳睡覺
帶妳回家 回到妳的旁邊
回到妳的臂彎
我是一隻流浪狗
金窩銀窩 還是比不上妳的嘎子窩
比較暖和
哼 我比較奇怪 fetish
我半夜不睡 do your dishes
那不是妳要的 那是我自己
獻殷勤啊 陷進那陷阱裡 蛤
陷進那流裡 黃河入海流
黃河不是我的家 銀河才是我 的歸宿
成為宇宙裡面一顆亮點
Shout out to softlipa
他 杜振熙哈大帝國
我們才會相見
We did it %%%pass
You didn't show me your @ss
真的沒有 真的沒有
真的沒錯 是真的好吃
真的沒錯 是真的好濕
真真假假 舌燦蓮花
Shout out 大支
沒那麼大支 是袂安怎
但是不要緊 那代表 咱膽大心細
我兄弟 書逸 叫我不要太著急
Everything is looking good
Everything in this right place
Everything攏是 過程

I hope so 哇矮哩
我知道我知道一切都是過程
寶貝我愛妳
嗯就是 很難過的過程
很難過 過山洞的火車
火車噹啊一丟 噹啊一抖 丟
丟掉全部的家當 還有家具
那些都是花錢買來的
那些都是我花心血 流汗
所換來的 所以
唉
CODE",,,Leo王,In progress,No
哥,,,No,No,,No,,"晉升哥字輩 但還是貝戈戈
多少妹子像是弟子 整天背哥的歌
用著進化歌喉配上犀利歌詞
饒舌歌手看到哥都開啟迷弟模式
私訊密哥 說 ㄟ 熊仔哥歹勢
能不能 跟仔哥 要個載歌載點
想要跟著仔哥的歌 載歌載舞
任仔哥的punchline 宰割海扁
愛聽歌的女孩 這種哥愛
愛哥的收藏 哥忍痛割愛
但別寄生哥的good life
每晚都要哥愛戴
哥不愛戴就怪哥 ㄍ ㄨㄞ' 怪
太愛寬哥 子膽哥 快術之干戈
叫弟的親妹 別一直喊哥乾哥
別搞到割腕流血 不想被drama耽擱
別奢望哥挽留姊 哥頂多寫首輓歌

哥trip 哥vibes with that 哥shit
哥livin 哥life droppin 哥 music
哥哥 flex on them with my 哥bae
Shes a bad shawtie in a 哥way
哥making 哥moves in that 哥whip
哥in a 哥mood bumpin 哥的hits
哥哥 flex on them with my 哥bae
Keep a bad shawtie in a 哥shape

說到哥 哥我當得最久
妹妹都愛來找哥對酒當歌 每晚喝到醉酒
年紀比哥大的姐姐們也都愛把哥當哥
哥哥應付不過來只好叫弟弟幫哥擋(幫個忙)
弟們都來follow me 稱呼哥是big brother
不斷地bother me 林北嘎哩巴叻
都想來找哥feat 出現在哥哥的歌裡
哥不理他們 還不停「哥的哥的」拜託哥理
別再跑來認我 問我可否叫我大哥
哥大有可為 管你叫我大大還是哥哥
哥哥大可把你罵到怕了不用大的音量
用歌詞把到心上人 順便打到你心上
別再打哥的大哥大 哥哥在呼呼大睡
哥哥不只很偉大 哥哥還很大尾
弟發現 哥發揮的大絕 不到一成的功夫
崇拜哥的舉手投足 搶當哥的手足

哥trip 哥vibes with that 哥shit
哥livin 哥life droppin 哥 music
哥哥 flex on them with my 哥bae
Shes a bad shawtie in a 哥way
哥making 哥moves in that 哥whip
哥in a 哥mood bumpin 哥的hits
哥哥 flex on them with my 哥bae
Keep a bad shawtie in a 哥shape

I'm your 兄 your my my lil bro
I'm getting all the models all you got is lil hoe
我才20歲 你要好好反省
Look at your lazy ass 我都為你擔心
每一天晚上 its where I make difference
哥所以成長 因為哥願意犧牲
我在跟熊做歌 哥們gon殺無赦
Oh my god

弟不想當弟 弟想當尼哥
弟沒有創意 弟一昧的迷哥
弟 想要跟哥一樣的霸氣
弟想當大哥 哥比較想當大帝
凱薩 Julius Caesar
哥comes 哥sees 哥 conquers整個戈壁
牆頭草 快來依附哥的惡勢力
看好風向 記得考慮哥的柯氏力

哥寫歌沒格式 哥寫的每個字
都讓弟 嘆為觀止 像是哥德式
哥的尺寸 可是德式
德意志的得意技 繼承哥的哥的意志
哥給弟 幾個建議 好好聽著
書中自有黃金 看看哥的藏經閣
精益求精 弟別只寫口水歌
弟 大吃一精 終於成為拓也哥",Bro,,Kumachan,,No
"微醺小房間
",,,No,No,Mandarin,Yes,,"昨天的話 還沒說完
漂浮在天花板
鬆開緊握的鎖
好讓感覺 流進來

嚐一口微醺的夜晚
跟著氣泡不停地旋轉 旋轉
嘴裡還呢喃著獨白
你是誰不要拆穿

迫不及待 你給的愛
身體 快要蒸發
意識 清醒了點
心要卸載 什麼遺憾	
我不退 也不喊
讓時間流過
所有期待 未來 傷害
選擇 障礙 重來

眼前的牆 將我推開
重新找方向感
揮舞補夢的網
想把自己 抓回來

房間裡迴盪著節拍
眼淚還在牆角壁癌
找不到適切的姿態
你為何 從未離開

*",Somnium Chamber,,9m88,,No
弟弟怕姐姐,,,No,No,Mandarin,No,,"弟弟怕姐姐 告訴媽媽他偷偷打手槍
在這個和平的家 竟然有人敢背著媽媽偷偷打手槍
弟弟真是衰 每天都會被姐姐威脅
如果姐姐想抽煙 弟弟的工作就是準備掃把
等下掃煙灰 弟弟聽didilong
想說 飛吧 飛吧 就讓我的子彈飛到太空 穿越時空
跟88男一起廢在 東岸西岸東洋西洋愛情動作片裡頭

woo~夜深人靜 小明打手槍
oh no no no no 耳機隔音太好 腳步聲聽不到
woo~小明最喜歡去 thisav
雙手萬能但是現在被發現了完了
手機螢幕又太小了都看不清楚她 nipples

姊姊突然打開房門 我褲子來不及穿好
那麼晚了還不睡覺 到底是在衝三小
她懂了 說我真可愛 嚇到沒法講話
姊姊說我終於長大 姊姊摸我的頭說乖
她幫我止渴 嘴巴上說不要 身體倒是挺誠實的
hey 姊姊突然喊了聲 WTF
小時候一起洗澡 現在竟然長得那麼大
姐姐怎麼那麼好色 還不准我那麼早射
傻孩子竟然都不曉得 地方姊姊需要老二
她快到了 還叫我撐著
奪走人家第一次 SOD都是真的
姊姊說以後不用再自己解決
想要的話就到隔壁房間找自己的姊姊
還威脅我說這是我們兩人之間的秘密
如果我告訴她男朋友的話她就要告訴媽媽

woo~夜深人靜 小明打手槍
oh no no no no 耳機隔音太好 腳步聲聽不到
woo~小明最喜歡去 thisav
雙手萬能但是現在被發現了完了
手機螢幕又太小了都看不清楚她 nipples

從星期一到星期七
從 xvideos 到 卡提諾101
小明走不出青春期 有甚麼關係
或許 打飛機才是他真正的興趣
once again 台灣大學裡面沒有飛機系
所以他只好選擇去念農經
小明又戴上耳機 你們只在乎成績
沒問題 攏齁哩啦 全部都考出來給你

woo~夜深人靜 小明打手槍
oh no no no no 耳機隔音太好 腳步聲聽不到
woo~小明最喜歡去 thisav
雙手萬能但是現在被發現了完了
手機螢幕又太小了都看不清楚她 nipples","Jerking Off, Got Caught",,Leo王,,No
假朋友真兄弟,,,No,No,Mandarin,No,,"[Intro: BOWZ]
我的身邊有很多的朋友
忙起來有時後很久都沒有聯絡
但是我沒有忘了你們
所以我寫了這首歌 送給你
希望你會喜歡

[Verse 1: BOWZ]
紅了後 我的朋友一夕之間變好多
紅了後 我的朋友說我態度變好多
兄弟和朋友不同 沒在管我紅不紅
So 紅了後 朋友和我兄弟好分辨好多
朋友約我party 為了打卡炫耀
我的兄弟打卡 為了約我出門hang out
我的朋友偷拍照片 狂發十張現實動態
我跟兄弟喝到斷片 記憶和底片全是空白
朋友說 欸 好久沒見
電話打不通怎麼都不回電
女友快要生日 是你頭號粉絲
可不可以私下 約你會面
(I don't know about that man)
朋友這樣太沒sense
對你感情太隨便
稍微移開視線
危險危險危險
三秒鐘讓他移情別戀
我的朋友跟他朋友說 BOWZ是他兄弟
我的朋友跟他兄弟說 BOWZ他好臭屁
很不巧的你不曉得你的兄弟是我兄弟 所以
不好意思朋友你又少了一個兄弟
Sorry
You might also like
[Bridge: BOWZ]
Nah 我朋友一直哄我
我朋友一直捧我
我朋友很懂social但是沒有一個懂我
我兄弟比我還要反社會
對fake ass比較直接
都說 get the fuck out my face

[Chorus: BOWZ & (陶喆 David Tao)]
I'm not yo bro
I'm not yo homie
I'm not yo man
No you don't know me
I'm not yo guy
I'm not yo 兄弟
I'm not yo 誰誰誰
Aye aye
Get the fuck out of my face
I'm not yo bro
I'm not yo homie
他來求我
他來攀關係 他說
(我無法只是普通朋友
感情已那麼深 叫我怎麼能放手
但你說...)
[Verse 2: BOWZ]
朋友跟我分享他的新歌
他只想我幫他分享沒管我有沒有聽歌
找我合作想著怎麼賣票 發稿 才好
演唱會來賓我直接放他鳥
娃
朋友不肯放過我
纏著我 裝熟說
老朋友認識都這麼久 小時候回應好wonderful
忘了嗎？
我是你國小的同學的舅舅的柴犬的寵物醫生的室友
是哦。
一點印象都沒有
No
我只記得那隻狗
後來朋友說我大頭症 不知那根筋不對
兄弟知道我在打頭陣 當我後勤部隊
現在朋友會來約我 都是為了吸引妹來虧
我兄弟約我
我的兄弟 本人 就是 妹

[Bridge: BOWZ]
Nah 我朋友背後捅我
我朋友背後弄我
我朋友被我轟走還要跪求解除封鎖
我兄弟比我還要反社會
對fake ass比較直接
都說 get the fuck out my face
[Chorus: BOWZ & (陶喆 David Tao)]
I'm not yo bro
I'm not yo homie
I'm not yo man
No you don't know me
I'm not yo guy
I'm not yo 兄弟
I'm not yo 誰誰誰
Aye aye
Get the fuck out of my face
I'm not yo bro
I'm not yo homie
他來求我
他來攀關係 他說
(我無法只是普通朋友
感情已那麼深 叫我怎麼能放手
但你說···)

[Outro: (陶喆 David Tao) & BOWZ]
(我在你心中只是just a friend」
不是情人
我......)

直到我朋友裝成兄弟的小帳號套我話
我朋友截圖兄弟的塗鴉牆爆我卦
我兄弟朋友用我名義對外烙狠話
直到我兄弟朋友為了利益設局fuck him up
我慎選我的兄弟 但他不懂區分
直到兄弟因他朋友業障替我犧牲
再也不講道義
不值錢沒什麼好做保的
別再稱兄道弟
大家朋友一場就好了",,,"BOWZ, Kumachan",,No
,,,No,No,,No,,,,,Kivi Pasulivai 吳美婷,,No
辣台妹,,,No,No,Mandarin,No,https://www.youtube.com/watch?v=zJx6v_APhWA,伊係北部的口音 搖落中部的口音 搖落 搖落南部的口音 搖落 搖落音樂插播 看她脫掉上衣音樂插播 看她脫掉上衣 她是揮霍一切直到沒這個單位不太歡迎小氣鬼幾十萬的現金放在口袋不用回今天晚上就算有家也不用回82年的拉菲 生牛肉配上松露你笑我世俗我也不要空腹一條龍的帳單簽個名我都付從錦州街口一路玩到忠孝東路年輕人的小費都往口袋塞黃董太HIGH誰還躲在角落講電話應付太太最好早點回家這條狗太乖酒色財氣的台北 戴著純金的項鍊幫我排新的小姐 辣台妹酒色財氣的台北 戴著純金的項鍊幫我排新的小姐 尬台妹辣台妹 辣台妹 騷底辣台妹 辣台妹 WU辣台妹 辣台妹 騷底辣台妹 辣台妹 搖落伊係北部的口音 搖落中部的口音 搖落 搖落南部的口音 搖落 搖落音樂插播 看她脫掉上衣音樂插播 看她脫掉上衣 她是我們不說價 敢玩再坐下給我一盤SHOTS 看我贏光妳的衣服全部都脫下在這晚上我們不講人情最好只講現金 整場美女如雲喝到早上 直到是誰不行全部都框到底 就讓我來處理最熱情的鄉音 身價都是鑲金為了她們我要繼續再開幾支香檳快點脫掉上衣 散發迷人香氣把錢通通都給妳別再說妳爸生病酒色財氣的台北 戴著純金的項鍊幫我排新的小姐 辣台妹酒色財氣的台北 戴著純金的項鍊幫我排新的小姐 尬台妹辣台妹 辣台妹 騷底辣台妹 辣台妹 WU辣台妹 辣台妹 騷底辣台妹 辣台妹 搖落伊係北部的口音 搖落中部的口音 搖落 搖落南部的口音 搖落 搖落音樂插播 看她脫掉上衣音樂插播 看她脫掉上衣 她是手戴水鬼 脖子戴上金飾不搭捷運 最好別刮我的賓士待會要去哪耍 得看我興致為何換帖兄弟全都移去麗緻敢玩的小姐 恁全部照排裝一塊的紅牌今嘜雄厚嘜來朋友覓食來談戀愛 昏頭掉進懸崖刷卡外框放生 下次帶包再來走店絕不簽單 打腫臉充胖子出門在外 沒在怕那出亂子阮敢玩就敢博 今天當浪子小姐看到我們像是吃到倒吊籽酒色財氣的台北 戴著純金的項鍊幫我排新的小姐 辣台妹酒色財氣的台北 戴著純金的項鍊幫我排新的小姐 尬台妹辣台妹 辣台妹 騷底辣台妹 辣台妹 WU辣台妹 辣台妹 騷底辣台妹 辣台妹 搖落伊係北部的口音 搖落中部的口音 搖落 搖落南部的口音 搖落 搖落音樂插播 看她脫掉上衣音樂插播 看她脫掉上衣 她是,Hot Chick,,頑童MJ116,In progress,No
阿美族語歌曲 十七歲的女孩 - YouTube,,,No,No,,No,https://www.youtube.com/watch?v=qqDjIR7JgL4&list=PLxeRlhNjfFnkkgFi7KxFYZD_JfJ1fzsmx&index=10,,,,,,No
,,,No,No,Truku,No,,,,,,,No
,,,No,No,Bunun,No,,,,,,,No
,,,No,No,Atayal,No,,,,,,,No
saceqaljan,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=TYO5-6j4VhM&list=RDTYO5-6j4VhM&start_radio=1,"sa ce qa ljane tja ya in ne ya lja i nu se lja se lja ngane lja
ta leng e i ge ma du wa na ya lja li na lu kepe tu sa a i va ya lja
sa ce qa ljane tja ya in ne ya lja i nu se lja se lja ngane lja
k a va la li ya pi  ya pa ya lja pa sa si va tje tu se ke lja ya lje
sa ce qa ljane tja ya in ne ya lja i nu se lja se lja ngane lja
http://3.nu/  lju tji lji va li lji nge ya lja ti ni zu lja ne tu sa yi va ya lja
sa ce qa ljane tja ya in ne ya lja i nu se lja se lja ngane lja",,(男對女 婚禮前唱),Dremedreman 曾妮,,No
鬼湖之戀,,,No,No,Rukai,No,https://www.youtube.com/watch?v=3rNmj-YDfd4,,,,,,No
梁文音《鲁凯的姑娘》风情满分 — 我是歌手第四季谁来踢馆 - YouTube,,,No,No,,No,https://www.youtube.com/watch?v=YNAgPtfhN3Y,,,,,,No
原Way聽歌吧 ｜ 馬蘭姑娘＋日出東方Pasiwali By 歐巴尚青 - YouTube,,,No,No,,No,https://www.youtube.com/watch?v=-VDiMkM9smQ&list=RD-VDiMkM9smQ&index=3,,,,,,No
原Way聽歌吧 ｜ 馬蘭姑娘＋日出東方Pasiwali By 歐巴尚青 - YouTube,,,No,No,,No,https://www.youtube.com/watch?v=-VDiMkM9smQ&list=RD-VDiMkM9smQ&index=3,,,,,,No
阿美族歌曲 (那天晚上風的聲音) 檳榔兄弟 - YouTube,,,No,No,,No,https://www.youtube.com/watch?v=ty83gKqXnaA&t=2s,,,,,,No
阿美族歌曲 (那天晚上風的聲音) 檳榔兄弟 - YouTube,,,No,No,,No,https://www.youtube.com/watch?v=ty83gKqXnaA&t=2s,,,,,,No
阿美族歌曲 (那天晚上風的聲音) 檳榔兄弟 - YouTube,,,No,No,,No,https://www.youtube.com/watch?v=ty83gKqXnaA&t=2s,,,,,,No
阿美族歌曲 (那天晚上風的聲音) 檳榔兄弟 - YouTube,,,No,No,,No,https://www.youtube.com/watch?v=ty83gKqXnaA&t=2s,,,,,,No
馬蘭姑娘 by 原來是美族 #三姐妹 - YouTube,,,No,No,,No,https://www.youtube.com/watch?v=dnjL5jxjCgA&list=RDdnjL5jxjCgA&start_radio=1,,,,,,No
馬蘭姑娘 by 原來是美族 #三姐妹 - YouTube,,,No,No,,No,https://www.youtube.com/watch?v=dnjL5jxjCgA&list=RDdnjL5jxjCgA&start_radio=1,,,,,,No
Pito ko safaw a mihcaan no kayoing,,,No,No,Amis,No,https://www.youtube.com/watch?v=qqDjIR7JgL4&list=PLxeRlhNjfFnkkgFi7KxFYZD_JfJ1fzsmx&index=11,,,十七歲的女孩,,Not Started,No
Senai kalevalevai,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=Bfy4d5oKjys,,,我們當歡喜歌唱,,,No
*排灣情歌,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=TsgCot2z2lw,,,排灣情歌(春日版),排灣女聲,Not Started,No
(senai tua CEMES),,,No,No,Paiwan,No,https://www.youtube.com/watch?v=rIEL7O9WjFo,,,,排灣女聲,Not Started,No
*美麗的稻穗,,,No,No,Puyuma,No,https://www.youtube.com/watch?v=NV4vftOkGAk,,,美麗的稻穗,陸森寶,,No
na lu wan,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=qURuaZGoeTk&list=RDqURuaZGoeTk&start_radio=1,,,,Ljaucu Talimaraw,,No
*媽媽的花環,,,No,No,Puyuma,No,https://www.youtube.com/watch?v=1oG7U8oesTM,"tu upidanay ku dda aput kan nanali
semebek na kaliaputan
tu upidanay ku dda aput kan nanali
salauku semangal dda sagaran
na aput na inupid ku piaputau
kamawan dda bulabulayan
parenang mi kan nanali kurenang masangal
madikedikes mukasa muwarak a pakireb semenai",,媽媽的花環,"南王姊妹花, 陳建年 Paudull",Not Started,No
Malikasaw ,,,No,No,Puyuma,No,https://www.youtube.com/watch?v=CaTKzs4kg3c&list=RDCaTKzs4kg3c&start_radio=1,"senayaw na vulavulayan (hoaiyeyan hay yan)
muaraka ta na vangaensaran",Cheerful waggle dance,快樂搖擺,Sangpuy 桑布伊,In progress,No
Iturusanay,,,No,No,Puyuma,No,https://www.youtube.com/watch?v=O1enhHQdSl0&list=RDO1enhHQdSl0&start_radio=1,"kemayan ta i ngawayane za na karuma’an
mukasaya ta kianun kemakezeng ta
tu inlrangan na awatanane kana maa’idenge (maa’izangan?)
kana maa’izangan kalrayuwayuwane
ama ina (na ni ya o)
ama ina aperezaw mi
ama ina tu puwalihuyane",Follow your steps,跟著走,Sangpuy 桑布伊,In progress,No
*太巴塱民謠,,,No,Yes,Amis,Yes,https://www.youtube.com/watch?v=EDa9MRjH-mQ&list=RDEDa9MRjH-mQ&start_radio=1,,,太巴塱民謠,陳建年 Paudull,Not Started,No
故鄉 Puyuma,,,No,No,Mandarin,No,https://www.youtube.com/watch?v=7wlyj2KSCyU&list=RD7wlyj2KSCyU&start_radio=1,,,故鄉 Puyuma,陳建年 Paudull,Not Started,No
Amis 的饗宴,,,No,No,,No,https://www.youtube.com/watch?v=gSJ09juDq1c,,,Amis 的饗宴,陳建年 Paudull,Not Started,No
sisarusaru,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=BEZIRZPnrh0&list=RDBEZIRZPnrh0&start_radio=1,(hard coded,,結婚歌曲,tjuku taligu 謝光蘭,Not Started,No
*思念,,,No,No,Amis,No,https://www.youtube.com/watch?v=_SrkgXisLUg&list=RD_SrkgXisLUg&start_radio=1,"Senay senay sa ko losa’
O losa’ iso haw kaka
Yo na ikor han no miso i takowanan
Hay ya harateng iso kaka",,思念,原來是美族,In progress,Yes
emaya-a-yam,太陽 風 草原的聲音,,Yes,No,Paiwan,No,https://www.youtube.com/watch?v=e0rlsZn8rHg&list=RDEM6-0iv3BXmlPx3FmwU8mmNQ&index=11,,,婦女除草完工祭古調,Samingad 紀曉君,,No
